Distance,Press_time
[555.9],[764]
[347.1],[390]
[488.18],[690]
[568.21],[792]
[458.77],[619]
[424.46],[599]
[634.02],[863]
[414.51],[549]
[556.74],[741]
[636.34],[866]
[523.42],[647]
[344.78],[433]
[444.49],[614]
[535.78],[695]
[358.49],[444]
[657.11],[922]
[272.97],[325]
[699.44],[960]
[623.92],[856]
[328.02],[404]
[351.18],[431]
[219.72],[309]
[518.62],[694]
[490.89],[735]
[653.17],[890]
[459.66],[676]
[495.86],[680]
[591.61],[807]
[439.22],[577]
[667.62],[920]
[637.3],[874]
[422.49],[559]
[571.63],[801]
[682.87],[934]
[504.75],[703]
[294.81],[423]
[554.14],[759]
[497.71],[624]
[386.0],[513]
[708.54],[978]
[250.78],[354]
[706.48],[966]
[638.67],[866]
[343.08],[454]
[413.72],[509]
[443.78],[578]
[359.71],[459]
[463.39],[666]
[545.25],[771]
[560.98],[775]
[334.09],[398]
[681.42],[937]
[625.63],[872]
[474.03],[676]
[488.03],[673]
[574.3],[811]
[564.94],[789]
[522.52],[757]
[294.84],[411]
[474.34],[680]
[538.49],[727]
[469.17],[647]
[576.82],[831]
[451.14],[606]
[442.51],[563]
[283.16],[352]
[628.39],[850]
[636.93],[883]
[585.57],[801]
[598.44],[790]
[319.14],[338]
[299.0],[362]
[433.07],[585]
[684.23],[941]
[384.82],[434]
[490.6],[644]
[458.23],[663]
[180.52],[252]
[524.94],[681]
[531.09],[708]
[368.29],[528]
[368.42],[244]
[518.64],[699]
[338.59],[451]
[517.99],[717]
[416.55],[502]
[309.84],[435]
[328.6],[311]
[494.5],[698]
[620.82],[849]
[497.13],[689]
[313.65],[404]
[585.43],[848]
[558.71],[784]
[591.65],[802]
[287.5],[362]
[278.87],[342]
[372.85],[434]
[222.18],[326]
[459.05],[679]
[377.76],[465]
[477.99],[703]
[551.09],[748]
[538.1],[755]
[724.52],[1013]
[527.29],[719]
[353.74],[392]
[722.97],[1012]
[295.24],[397]
[427.6],[534]
[479.53],[614]
[468.39],[579]
[705.44],[976]
[587.19],[785]
[293.68],[357]
[456.85],[614]
[613.53],[834]
[487.09],[698]
[391.05],[514]
[470.14],[620]
[552.7],[774]
[331.25],[416]
[600.95],[791]
[528.45],[744]
[493.09],[706]
[462.31],[600]
[353.96],[462]
[472.4],[622]
[325.81],[370]
[381.47],[478]
[499.82],[699]
[367.74],[544]
[643.27],[902]
[644.43],[910]
[439.34],[624]
[415.51],[569]
[455.68],[629]
[519.28],[737]
[398.58],[530]
[607.91],[864]
[598.77],[808]
[648.56],[900]
[256.36],[286]
[320.94],[419]
[376.61],[468]
[649.93],[882]
[505.95],[668]
[691.19],[950]
[280.26],[332]
[519.08],[655]
[380.21],[490]
[262.64],[330]
[346.08],[447]
[451.06],[596]
[65.35],[220]
[543.46],[700]
[497.09],[677]
[278.66],[433]
[245.79],[281]
[507.72],[712]
[424.3],[259]
[505.44],[698]
[645.17],[898]
[476.48],[582]
[409.29],[485]
[592.33],[800]
[529.17],[681]
[619.32],[850]
[445.03],[569]
[331.2],[407]
[351.59],[500]
[629.35],[847]
[392.73],[513]
[536.64],[715]
[554.15],[728]
[421.63],[495]
[422.18],[470]
[410.4],[509]
[485.17],[693]
[90.46],[207]
[502.58],[696]
[479.05],[726]
[516.35],[709]
[461.02],[626]
[482.66],[679]
[583.55],[815]
[561.73],[805]
[685.16],[924]
[568.44],[735]
[302.48],[382]
[480.71],[612]
[364.77],[436]
[442.63],[641]
[597.56],[832]
[563.35],[735]
[601.25],[825]
[621.64],[842]
[369.15],[522]
[449.19],[561]
[597.87],[771]
[284.59],[323]
[277.7],[355]
[669.38],[938]
[364.49],[450]
[380.31],[448]
[351.99],[356]
[388.95],[467]
[615.81],[854]
[496.8],[683]
[521.28],[689]
[441.47],[588]
[167.25],[230]
[172.43],[127]
[504.51],[696]
[399.22],[507]
[375.13],[481]
[359.47],[543]
[599.82],[863]
[219.89],[342]
[537.67],[721]
[673.03],[961]
[495.2],[690]
[571.15],[761]
[495.92],[671]
